word,pos
lowly,adjective
lucky,adjective
ludicrous,adjective
lumpy,adjective
lush,adjective
luxuriant,adjective
lying,adjective
lyrical,adjective
macabre,adjective
macho,adjective
maddening,adjective
madly,adjective
magenta,adjective
magical,adjective
magnificent,adjective
majestic,adjective
makeshift,adjective
male,adjective
malicious,adjective
mammoth,adjective
maniacal,adjective
many,adjective
marked,adjective
married,adjective
marvelous,adjective
massive,adjective
material,adjective
materialistic,adjective
mature,adjective
mean,adjective
measly,adjective
meaty,adjective
medical,adjective
meek,adjective
mellow,adjective
melodic,adjective
melted,adjective
merciful,adjective
mere,adjective
messy,adjective
mighty,adjective
military,adjective
milky,adjective
mindless,adjective
miniature,adjective
minor,adjective
miscreant,adjective
misty,adjective
mixed,adjective
moaning,adjective
modern,adjective
moldy,adjective
momentous,adjective
motionless,adjective
mountainous,adjective
muddled,adjective
mundane,adjective
murky,adjective
mushy,adjective
mute,adjective
mysterious,adjective
naive,adjective
nappy,adjective
narrow,adjective
nasty,adjective
natural,adjective
naughty,adjective
nauseating,adjective
near,adjective
neat,adjective
nebulous,adjective
necessary,adjective
needless,adjective
needy,adjective
neighborly,adjective
nervous,adjective
new,adjective
next,adjective
nice,adjective
nifty,adjective
nimble,adjective
nippy,adjective
noiseless,adjective
noisy,adjective
nonchalant,adjective
nondescript,adjective
nonstop,adjective
normal,adjective
nostalgic,adjective
nosy,adjective
noxious,adjective
null,adjective
numberless,adjective
numerous,adjective
nutritious,adjective
nutty,adjective
oafish,adjective
obedient,adjective
obeisant,adjective
obese,adjective
obnoxious,adjective
obscene,adjective
obsequious,adjective
observant,adjective
obsolete,adjective
obtainable,adjective
oceanic,adjective
odd,adjective
offbeat,adjective
old,adjective
old-fashioned,adjective
omniscient,adjective
onerous,adjective
open,adjective
opposite,adjective
optimal,adjective
orange,adjective
ordinary,adjective
organic,adjective
ossified,adjective
outgoing,adjective
outrageous,adjective
outstanding,adjective
oval,adjective
overconfident,adjective
overjoyed,adjective
overrated,adjective
overt,adjective
overwrought,adjective
painful,adjective
painstaking,adjective
pale,adjective
paltry,adjective
panicky,adjective
panoramic,adjective
parallel,adjective
parched,adjective
parsimonious,adjective
past,adjective
pastoral,adjective
pathetic,adjective
peaceful,adjective
penitent,adjective
perfect,adjective
periodic,adjective
permissible,adjective
perpetual,adjective
petite,adjective
phobic,adjective
physical,adjective
picayune,adjective
pink,adjective
piquant,adjective
placid,adjective
plain,adjective
plastic,adjective
plausible,adjective
pleasant,adjective
plucky,adjective
pointless,adjective
poised,adjective
polite,adjective
political,adjective
poor,adjective
possessive,adjective
possible,adjective
